k,ferr
0,5.3053513694466234
1,4.1728789761923712
2,3.2454486920093695
3,2.5184942994856176
4,2.3538355102722996
5,2.3455481383046299
6,1.9003428193945668
7,1.8724426834735706
8,1.5219990746384529
9,1.3285833226645867
10,1.0928126999883978
11,0.9021932724182771
12,0.5001865375721001
13,-0.0232865704027128
14,-0.8542431505933258
15,-1.3649817730158316
16,-3.6672177557153898
17,-4.8552739764639119
18,-5.7934974878712717
19,-11.1883763622674746
20,-12.3546720617039707
21,-13.3613200574594888
22,-18.3955381762966326